purchase_date,approved,canceled,created,delivered,invoiced,processing,shipped,unavailable
2016-09-04,0,0,0,0,0,0,1,0
2016-09-05,0,1,0,0,0,0,0,0
2016-09-13,0,1,0,0,0,0,0,0
2016-09-15,0,0,0,1,0,0,0,0
2016-10-02,0,1,0,0,0,0,0,0
2016-10-03,0,1,0,7,0,0,0,0
2016-10-04,0,5,0,54,3,0,1,0
2016-10-05,0,2,0,35,2,1,4,3
2016-10-06,0,3,0,41,5,0,0,2
2016-10-07,0,2,0,38,2,0,3,1
2016-10-08,0,3,0,36,2,0,0,1
2016-10-09,0,4,0,20,1,1,0,0
2016-10-10,0,2,0,34,3,0,0,0
2016-10-22,0,1,0,0,0,0,0,0
2016-12-23,0,0,0,1,0,0,0,0
2017-01-05,0,0,0,32,0,0,0,0
2017-01-06,0,0,0,4,0,0,0,0
2017-01-07,0,0,0,4,0,0,0,0
2017-01-08,0,0,0,4,0,0,2,0
2017-01-09,0,0,0,5,0,0,0,0
2017-01-10,0,0,0,6,0,0,0,0
2017-01-11,0,1,0,10,0,1,0,0
2017-01-12,0,0,0,12,1,0,0,0
2017-01-13,0,1,0,10,0,0,1,0
2017-01-14,0,0,0,16,0,0,2,0
2017-01-15,0,0,0,14,0,0,0,0
2017-01-16,0,0,0,18,1,0,0,0
2017-01-17,0,0,0,32,0,0,0,0
2017-01-18,0,0,0,30,1,2,0,0
2017-01-19,0,0,0,29,0,0,0,0
2017-01-20,0,0,0,28,0,0,0,1
2017-01-21,0,0,0,22,0,0,2,0
2017-01-22,0,0,0,30,0,0,0,1
2017-01-23,0,0,0,36,0,1,2,0
2017-01-24,0,0,0,38,1,1,0,0
2017-01-25,0,0,0,57,0,3,2,1
2017-01-26,0,1,0,82,2,0,0,1
2017-01-27,0,0,0,59,1,0,1,1
2017-01-28,0,0,0,28,1,0,0,0
2017-01-29,0,0,0,32,0,0,3,0
2017-01-30,0,0,0,48,3,0,0,2
2017-01-31,0,0,0,64,1,1,1,3
2017-02-01,0,1,0,61,1,3,1,6
2017-02-02,0,0,0,67,0,0,1,1
2017-02-03,0,3,0,54,0,2,0,1
2017-02-04,0,0,0,64,1,0,1,1
2017-02-05,0,0,0,74,0,1,0,0
2017-02-06,1,0,0,78,1,1,0,4
2017-02-07,0,1,0,108,1,1,0,1
2017-02-08,0,1,0,83,1,0,5,5
2017-02-09,0,0,0,73,2,1,1,0
2017-02-10,0,1,0,63,0,1,1,0
2017-02-11,0,0,0,45,0,0,0,4
2017-02-12,0,1,0,61,0,1,0,1
2017-02-13,0,1,0,74,0,1,0,2
2017-02-14,0,0,0,66,1,2,2,5
2017-02-15,0,0,0,56,1,1,2,2
2017-02-16,0,2,0,49,0,1,0,3
2017-02-17,0,0,0,45,0,0,0,1
2017-02-18,0,0,0,52,0,0,0,2
2017-02-19,0,0,0,37,0,3,0,0
2017-02-20,0,1,0,59,0,2,1,0
2017-02-21,0,0,0,39,1,0,1,0
2017-02-22,0,3,0,53,0,2,3,2
2017-02-23,0,0,0,57,1,1,0,0
2017-02-24,0,0,0,60,0,1,1,2
2017-02-25,0,0,0,39,0,3,0,1
2017-02-26,0,0,0,42,0,2,1,1
2017-02-27,0,1,0,41,0,1,0,0
2017-02-28,0,1,0,53,0,1,0,0
2017-03-01,0,1,0,93,0,1,1,3
2017-03-02,0,0,0,66,0,2,0,4
2017-03-03,0,0,0,72,0,0,0,2
2017-03-04,0,2,0,69,0,3,4,2
2017-03-05,0,2,0,67,0,1,2,2
2017-03-06,0,1,0,94,0,0,4,6
2017-03-07,0,1,0,78,0,1,1,1
2017-03-08,0,1,0,73,1,2,1,1
2017-03-09,0,0,0,88,0,1,3,1
2017-03-10,0,2,0,84,0,0,2,0
2017-03-11,0,1,0,68,0,0,2,0
2017-03-12,0,1,0,63,0,0,0,0
2017-03-13,0,3,0,104,0,2,2,0
2017-03-14,0,1,0,95,0,2,1,0
2017-03-15,0,0,0,101,0,2,4,1
2017-03-16,0,1,0,100,0,1,1,0
2017-03-17,0,0,0,64,0,0,1,0
2017-03-18,0,0,0,71,0,0,2,0
2017-03-19,0,0,0,56,0,0,0,0
2017-03-20,0,4,0,113,0,0,1,1
2017-03-21,0,4,0,92,0,0,0,1
2017-03-22,0,0,0,104,0,0,1,0
2017-03-23,0,1,0,105,0,0,5,3
2017-03-24,0,1,0,75,0,0,1,2
2017-03-25,0,1,0,72,0,1,1,1
2017-03-26,0,0,0,63,1,0,0,0
2017-03-27,0,1,0,107,1,0,1,1
2017-03-28,0,3,0,96,0,1,3,0
2017-03-29,0,1,0,72,0,0,1,0
2017-03-30,0,0,0,72,0,2,0,0
2017-03-31,0,0,0,69,0,1,0,0
2017-04-01,0,0,0,66,0,0,1,1
2017-04-02,0,0,0,64,0,0,1,0
2017-04-03,0,0,0,68,0,1,3,0
2017-04-04,0,0,0,96,0,0,0,0
2017-04-05,0,0,0,93,3,0,0,0
2017-04-06,0,0,0,92,0,2,1,1
2017-04-07,0,1,0,82,0,1,1,0
2017-04-08,0,0,0,64,0,1,1,2
2017-04-09,0,2,0,68,1,0,2,0
2017-04-10,0,1,0,84,0,0,2,0
2017-04-11,0,0,0,73,2,1,1,1
2017-04-12,0,1,0,61,0,0,1,0
2017-04-13,0,0,0,60,0,0,0,0
2017-04-14,0,3,0,47,0,0,4,0
2017-04-15,0,0,0,49,0,1,2,0
2017-04-16,0,0,0,47,0,0,2,0
2017-04-17,0,1,0,58,0,0,6,0
2017-04-18,0,0,0,71,0,0,0,0
2017-04-19,0,0,0,93,0,0,4,0
2017-04-20,0,1,0,91,1,0,4,1
2017-04-21,0,1,0,66,0,0,1,0
2017-04-22,0,0,0,82,0,0,1,1
2017-04-23,0,2,0,84,1,0,0,1
2017-04-24,0,1,0,110,2,1,1,0
2017-04-25,1,0,0,106,1,0,3,0
2017-04-26,0,2,0,122,0,0,1,0
2017-04-27,0,2,0,75,1,0,2,0
2017-04-28,0,0,0,95,0,1,2,0
2017-04-29,0,0,0,70,1,0,2,1
2017-04-30,0,0,0,66,1,1,0,0
2017-05-01,0,1,0,111,2,1,2,0
2017-05-02,0,2,0,122,0,0,3,1
2017-05-03,0,1,0,101,0,0,1,0
2017-05-04,0,0,0,107,0,1,0,1
2017-05-05,0,0,0,104,2,2,2,1
2017-05-06,0,0,0,103,1,1,2,2
2017-05-07,0,0,0,102,1,3,3,2
2017-05-08,0,0,0,120,1,0,1,2
2017-05-09,0,1,0,120,1,2,1,3
2017-05-10,0,1,0,109,1,1,4,0
2017-05-11,0,0,0,124,1,0,1,0
2017-05-12,0,3,0,105,1,0,4,2
2017-05-13,0,1,0,67,1,0,4,0
2017-05-14,0,2,0,108,1,0,1,0
2017-05-15,0,1,0,149,0,1,3,3
2017-05-16,0,1,0,149,1,0,0,2
2017-05-17,0,1,0,139,0,0,1,0
2017-05-18,0,0,0,124,0,0,1,0
2017-05-19,0,0,0,140,0,3,1,0
2017-05-20,0,0,0,70,0,1,1,0
2017-05-21,0,0,0,145,0,1,2,0
2017-05-22,0,0,0,145,0,2,1,0
2017-05-23,0,1,0,120,1,2,1,0
2017-05-24,0,0,0,140,0,0,1,1
2017-05-25,0,2,0,103,0,0,1,2
2017-05-26,0,1,0,77,1,0,0,1
2017-05-27,0,3,0,77,0,1,1,1
2017-05-28,0,0,0,98,0,0,0,0
2017-05-29,0,2,0,151,0,0,6,1
2017-05-30,0,2,0,98,0,1,1,3
2017-05-31,0,3,0,118,0,0,5,3
2017-06-01,0,0,0,123,0,1,0,0
2017-06-02,0,0,0,123,1,1,1,1
2017-06-03,0,0,0,88,0,1,0,0
2017-06-04,0,0,0,99,0,0,2,1
2017-06-05,0,1,0,142,0,1,2,1
2017-06-06,0,1,0,128,2,1,2,0
2017-06-07,0,1,0,122,0,0,2,4
2017-06-08,0,0,0,134,1,0,2,0
2017-06-09,0,1,0,105,0,0,1,1
2017-06-10,0,0,0,72,3,0,1,1
2017-06-11,0,0,0,111,0,1,1,2
2017-06-12,0,0,0,121,1,0,3,1
2017-06-13,0,1,0,121,1,1,1,1
2017-06-14,0,0,0,128,0,0,2,1
2017-06-15,0,2,0,103,0,0,2,1
2017-06-16,0,2,0,94,0,0,1,0
2017-06-17,0,0,0,72,0,2,0,1
2017-06-18,0,2,0,87,0,0,1,0
2017-06-19,0,1,0,152,0,0,3,0
2017-06-20,0,1,0,90,0,0,2,1
2017-06-21,0,0,0,34,0,0,1,0
2017-06-22,0,2,0,83,0,0,3,0
2017-06-23,0,1,0,103,0,0,3,0
2017-06-24,0,0,0,74,0,0,2,0
2017-06-25,0,0,0,99,1,1,4,0
2017-06-26,0,0,0,67,1,1,3,0
2017-06-27,0,0,0,140,0,0,0,1
2017-06-28,0,0,0,117,0,1,2,0
2017-06-29,0,0,0,110,0,0,0,4
2017-06-30,0,0,0,93,0,0,0,2
2017-07-01,0,0,0,77,0,0,3,0
2017-07-02,0,2,0,102,0,0,2,2
2017-07-03,0,1,0,111,0,0,5,1
2017-07-04,0,0,0,120,0,0,3,2
2017-07-05,0,2,0,138,0,1,0,4
2017-07-06,0,0,0,140,1,1,6,6
2017-07-07,0,1,0,114,0,0,2,4
2017-07-08,0,0,0,83,0,0,0,1
2017-07-09,0,3,0,88,0,0,0,3
2017-07-10,0,0,0,140,0,0,0,3
