purchase_month,approved,canceled,created,delivered,invoiced,processing,shipped,unavailable
2016-09,0,2,0,1,0,0,1,0
2016-10,0,24,0,265,18,2,8,7
2016-11,0,0,0,0,0,0,0,0
2016-12,0,0,0,1,0,0,0,0
2017-01,0,3,0,750,12,9,16,10
2017-02,1,17,0,1653,11,32,21,45
2017-03,0,33,0,2546,3,23,45,32
2017-04,1,18,0,2303,14,10,49,9
2017-05,0,29,0,3546,16,23,55,31
2017-06,0,16,0,3135,11,12,47,24
2017-07,0,28,0,3872,7,11,56,52
2017-08,0,27,0,4193,20,18,41,32
2017-09,0,20,0,4150,17,22,38,38
2017-10,0,26,0,4478,16,20,33,58
2017-11,0,37,2,7289,35,25,72,84
2017-12,0,11,2,5513,13,35,57,42
2018-01,0,34,0,7069,15,29,74,48
2018-02,0,73,1,6555,6,6,57,30
2018-03,0,26,0,7003,23,9,133,17
2018-04,0,15,0,6798,14,8,99,5
2018-05,0,24,0,6749,24,6,54,16
2018-06,0,18,0,6099,3,0,43,4
2018-07,0,41,0,6159,13,1,60,18
2018-08,0,84,0,6351,23,0,47,7
2018-09,0,15,0,0,0,0,1,0
2018-10,0,4,0,0,0,0,0,0
