check,n
customers_null_key_rows,0
customers_duplicate_key_excess,0
customers_exact_duplicate_excess,0
geolocation_exact_duplicate_excess,261831
order_items_null_key_rows,0
order_items_duplicate_key_excess,0
order_items_exact_duplicate_excess,0
payments_exact_duplicate_excess,0
reviews_exact_duplicate_excess,0
orders_null_key_rows,0
orders_duplicate_key_excess,0
orders_exact_duplicate_excess,0
products_null_key_rows,0
products_duplicate_key_excess,0
products_exact_duplicate_excess,0
sellers_null_key_rows,0
sellers_duplicate_key_excess,0
sellers_exact_duplicate_excess,0
category_translation_null_key_rows,0
category_translation_duplicate_key_excess,0
category_translation_exact_duplicate_excess,0
orders_customer_id_orphan_rows,0
order_items_order_id_orphan_rows,0
order_items_product_id_orphan_rows,0
order_items_seller_id_orphan_rows,0
reviews_order_id_orphan_rows,0
payments_order_id_orphan_rows,0
reviews_orders_with_multiple_rows,547
payments_orders_with_multiple_rows,2961
payments_order_id_payment_sequential_duplicate_excess,0
reviews_review_id_duplicate_excess,814
reviews_order_id_review_id_duplicate_excess,0
review_creation_date_invalid_nonmissing,0
review_answer_timestamp_invalid_nonmissing,0
invalid_review_score_rows,0
price_zero_rows,0
price_invalid_rows,0
freight_value_zero_rows,383
freight_value_invalid_rows,0
products_unknown_category,610
