category,n_orders,n_items,item_sales_brl,avg_item_price_brl
health_beauty,7845,8587,1110166.49,129.28
watches_gifts,5104,5444,1093698.85,200.9
bed_bath_table,8712,10290,962064.68,93.5
sports_leisure,7081,7943,901980.22,113.56
computers_accessories,6138,7217,848002.95,117.5
furniture_decor,5917,7665,665068.62,86.77
cool_stuff,3436,3592,593363.11,165.19
housewares,5185,6167,555578.26,90.09
auto,3457,3762,532805.81,141.63
garden_tools,3323,4127,452820.7,109.72
toys,3631,3841,450256.23,117.22
baby,2599,2759,377784.1,136.93
perfumery,2857,3093,360475.81,116.55
telephony,3846,4151,273059.03,65.78
office_furniture,1224,1632,260094.56,159.37
