category,units_sold,item_sales_brl,sales_per_item_brl
bed_bath_table,10290,962064.68,93.5
health_beauty,8587,1110166.49,129.28
sports_leisure,7943,901980.22,113.56
furniture_decor,7665,665068.62,86.77
computers_accessories,7217,848002.95,117.5
housewares,6167,555578.26,90.09
watches_gifts,5444,1093698.85,200.9
telephony,4151,273059.03,65.78
garden_tools,4127,452820.7,109.72
toys,3841,450256.23,117.22
auto,3762,532805.81,141.63
cool_stuff,3592,593363.11,165.19
perfumery,3093,360475.81,116.55
baby,2759,377784.1,136.93
electronics,2609,144196.37,55.27
stationery,2297,208343.04,90.7
fashion_bags_accessories,1850,140817.66,76.12
pet_shop,1722,186397.89,108.25
office_furniture,1632,260094.56,159.37
__UNKNOWN__,1504,168461.69,112.01
consoles_games,1023,140002.7,136.86
luggage_accessories,1013,132101.88,130.41
construction_tools_construction,754,119191.33,158.08
home_appliances,691,72388.63,104.76
small_appliances,635,176586.06,278.09
musical_instruments,610,173796.4,284.91
home_construction,548,75121.41,137.08
books_general_interest,501,43737.37,87.3
furniture_living_room,455,62127.36,136.54
home_confort,413,55767.17,135.03
food,383,20477.07,53.46
audio,334,48344.21,144.74
drinks,334,20106.58,60.2
market_place,286,25931.21,90.67
air_conditioning,260,48417.37,186.22
kitchen_dining_laundry_garden_furniture,254,43520.51,171.34
fashion_shoes,253,22500.17,88.93
industry_commerce_and_business,251,35774.52,142.53
food_drink,248,13914.27,56.11
fixed_telephony,240,51886.16,216.19
construction_tools_lights,239,31744.47,132.82
books_technical,234,17218.44,73.58
home_appliances_2,217,100421.19,462.77
costruction_tools_garden,209,21407.52,102.43
agro_industry_and_commerce,188,65545.01,348.64
computers,187,209972.64,1122.85
art,179,22175.91,123.89
signaling_and_security,175,19489.46,111.37
construction_tools_safety,158,34803.0,220.27
christmas_supplies,140,8208.47,58.63
fashion_underwear_beach,126,9145.95,72.59
fashion_male_clothing,121,10045.74,83.02
furniture_bedroom,91,16854.8,185.22
costruction_tools_tools,89,14648.18,164.59
tablets_printing_image,83,7528.41,90.7
cine_photo,61,6079.18,99.66
dvds_blu_ray,60,4533.69,75.56
books_imported,56,3669.86,65.53
small_appliances_home_oven_and_coffee,56,43592.84,778.44
fashio_female_clothing,41,2450.07,59.76
furniture_mattress_and_upholstery,37,4323.38,116.85
diapers_and_hygiene,33,1134.0,34.36
flowers,33,1110.04,33.64
music,32,5536.54,173.02
home_comfort_2,30,760.27,25.34
fashion_sport,28,2024.62,72.31
party_supplies,28,3179.9,113.57
arts_and_craftmanship,15,912.25,60.82
cds_dvds_musicals,14,730.0,52.14
la_cuisine,14,2054.99,146.78
UNTRANSLATED:portateis_cozinha_e_preparadores_de_alimentos,10,2130.03,213.0
UNTRANSLATED:pc_gamer,7,1087.95,155.42
fashion_childrens_clothes,7,519.95,74.28
security_and_services,2,283.29,141.64
