category,n_items,item_sales_brl,freight_charged_brl,freight_pct_of_item_sales
home_comfort_2,30,760.27,410.31,53.97
flowers,33,1110.04,488.87,44.04
diapers_and_hygiene,33,1134.0,484.27,42.7
furniture_mattress_and_upholstery,37,4323.38,1581.37,36.58
christmas_supplies,140,8208.47,2991.92,36.45
signaling_and_security,175,19489.46,6144.46,31.53
cds_dvds_musicals,14,730.0,224.99,30.82
electronics,2609,144196.37,43482.33,30.15
food_drink,248,13914.27,4083.11,29.34
food,383,20477.07,5650.25,27.59
fashion_sport,28,2024.62,549.88,27.16
dvds_blu_ray,60,4533.69,1219.86,26.91
furniture_living_room,455,62127.36,16227.42,26.12
kitchen_dining_laundry_garden_furniture,254,43520.51,10962.9,25.19
drinks,334,20106.58,5038.85,25.06
office_furniture,1632,260094.56,65142.58,25.05
telephony,4151,273059.03,64381.84,23.58
furniture_decor,7665,665068.62,156638.9,23.55
housewares,6167,555578.26,128711.64,23.17
arts_and_craftmanship,15,912.25,202.84,22.24
books_technical,234,17218.44,3821.25,22.19
furniture_bedroom,91,16854.8,3704.54,21.98
luggage_accessories,1013,132101.88,28692.38,21.72
fashio_female_clothing,41,2450.07,529.61,21.62
costruction_tools_garden,209,21407.52,4581.93,21.4
fashion_shoes,253,22500.17,4696.5,20.87
garden_tools,4127,452820.7,92621.7,20.45
stationery,2297,208343.04,42382.89,20.34
fashion_bags_accessories,1850,140817.66,28577.63,20.29
fashion_underwear_beach,126,9145.95,1840.29,20.12
industry_commerce_and_business,251,35774.52,7127.21,19.92
fashion_male_clothing,121,10045.74,1966.37,19.57
bed_bath_table,10290,962064.68,187529.68,19.49
books_general_interest,501,43737.37,8368.18,19.13
market_place,286,25931.21,4933.25,19.02
pet_shop,1722,186397.89,34947.99,18.75
books_imported,56,3669.86,676.12,18.42
construction_tools_lights,239,31744.47,5814.08,18.32
home_appliances,691,72388.63,13167.22,18.19
cine_photo,61,6079.18,1102.59,18.14
sports_leisure,7943,901980.22,154115.48,17.09
home_construction,548,75121.41,12363.95,16.46
tablets_printing_image,83,7528.41,1226.2,16.29
baby,2759,377784.1,61470.81,16.27
la_cuisine,14,2054.99,333.55,16.23
party_supplies,28,3179.9,515.06,16.2
computers_accessories,7217,848002.95,135972.12,16.03
toys,3841,450256.23,72021.75,16.0
art,179,22175.91,3533.72,15.93
__UNKNOWN__,1504,168461.69,26447.24,15.7
auto,3762,532805.81,82653.32,15.51
fashion_childrens_clothes,7,519.95,78.72,15.14
health_beauty,8587,1110166.49,161948.78,14.59
security_and_services,2,283.29,41.22,14.55
home_confort,413,55767.17,8099.17,14.52
construction_tools_construction,754,119191.33,17265.63,14.49
perfumery,3093,360475.81,48977.65,13.59
cool_stuff,3592,593363.11,78621.32,13.25
consoles_games,1023,140002.7,17977.1,12.84
air_conditioning,260,48417.37,5925.75,12.24
costruction_tools_tools,89,14648.18,1788.95,12.21
music,32,5536.54,605.71,10.94
audio,334,48344.21,5258.98,10.88
musical_instruments,610,173796.4,16685.27,9.6
UNTRANSLATED:pc_gamer,7,1087.95,103.52,9.52
home_appliances_2,217,100421.19,9538.81,9.5
construction_tools_safety,158,34803.0,3214.34,9.24
UNTRANSLATED:portateis_cozinha_e_preparadores_de_alimentos,10,2130.03,192.46,9.04
watches_gifts,5444,1093698.85,91029.72,8.32
small_appliances,635,176586.06,14681.32,8.31
fixed_telephony,240,51886.16,4264.91,8.22
agro_industry_and_commerce,188,65545.01,5114.55,7.8
small_appliances_home_oven_and_coffee,56,43592.84,2261.93,5.19
computers,187,209972.64,9148.87,4.36
