category,n_order_category_pairs,n_reviewed_orders,avg_order_review,pct_low_rating
security_and_services,2,2,2.5,50.0
UNTRANSLATED:pc_gamer,6,6,3.33,33.33
UNTRANSLATED:portateis_cozinha_e_preparadores_de_alimentos,9,9,3.33,33.33
office_furniture,1224,1215,3.64,21.89
audio,322,319,3.79,22.88
diapers_and_hygiene,21,21,3.81,14.29
fashion_male_clothing,102,101,3.82,22.77
home_comfort_2,24,23,3.83,21.74
home_confort,377,375,3.86,19.2
fashio_female_clothing,33,33,3.88,18.18
furniture_mattress_and_upholstery,37,37,3.89,18.92
arts_and_craftmanship,14,14,3.93,14.29
fixed_telephony,197,194,3.95,17.01
party_supplies,24,24,3.96,20.83
construction_tools_safety,138,137,3.98,17.52
bed_bath_table,8712,8621,3.99,16.22
__UNKNOWN__,1361,1351,4.0,17.76
home_construction,439,437,4.0,16.93
fashion_underwear_beach,116,115,4.02,16.52
furniture_decor,5917,5872,4.05,15.58
telephony,3846,3824,4.05,14.2
signaling_and_security,122,121,4.06,13.22
computers_accessories,6138,6108,4.07,14.93
market_place,261,259,4.08,11.97
art,177,175,4.1,13.71
baby,2599,2577,4.1,14.28
furniture_living_room,376,371,4.1,13.21
kitchen_dining_laundry_garden_furniture,222,220,4.1,11.82
construction_tools_construction,612,607,4.11,14.17
watches_gifts,5104,5063,4.11,13.89
christmas_supplies,115,113,4.12,11.5
electronics,2402,2383,4.12,13.22
agro_industry_and_commerce,163,163,4.13,12.27
air_conditioning,225,221,4.13,14.03
auto,3457,3440,4.13,13.37
music,32,32,4.13,12.5
tablets_printing_image,79,77,4.16,12.99
home_appliances_2,213,212,4.17,12.26
consoles_games,958,949,4.18,11.28
dvds_blu_ray,55,55,4.18,14.55
garden_tools,3323,3303,4.18,12.41
housewares,5185,5154,4.18,12.07
home_appliances,685,682,4.2,11.29
construction_tools_lights,186,183,4.21,9.29
health_beauty,7845,7801,4.21,11.78
cool_stuff,3436,3408,4.22,11.15
furniture_bedroom,80,80,4.22,12.5
musical_instruments,572,566,4.22,12.37
sports_leisure,7081,7038,4.22,11.55
industry_commerce_and_business,220,218,4.23,10.55
fashion_bags_accessories,1691,1682,4.24,10.11
toys,3631,3605,4.24,11.35
drinks,263,263,4.25,9.89
la_cuisine,13,12,4.25,16.67
perfumery,2857,2848,4.25,11.87
computers,167,164,4.26,10.98
fashion_shoes,231,227,4.26,11.45
food,338,334,4.26,10.48
pet_shop,1518,1510,4.26,10.99
small_appliances,586,581,4.26,11.53
stationery,2106,2094,4.27,10.51
costruction_tools_garden,171,171,4.3,10.53
cine_photo,55,55,4.33,12.73
luggage_accessories,957,953,4.37,8.08
books_technical,228,227,4.39,10.57
flowers,29,28,4.39,7.14
costruction_tools_tools,83,81,4.42,8.64
food_drink,205,205,4.42,4.39
books_imported,49,49,4.43,10.2
fashion_sport,25,25,4.44,8.0
small_appliances_home_oven_and_coffee,55,55,4.47,7.27
books_general_interest,462,458,4.55,5.9
cds_dvds_musicals,12,12,4.67,0.0
fashion_childrens_clothes,7,7,5.0,0.0
