category,item_sales_brl,category_rank,pct_of_sales,cumulative_pct
health_beauty,1110166.49,1,8.9947,8.9947
watches_gifts,1093698.85,2,8.8613,17.856
bed_bath_table,962064.68,3,7.7948,25.6507
sports_leisure,901980.22,4,7.308,32.9587
computers_accessories,848002.95,5,6.8706,39.8293
furniture_decor,665068.62,6,5.3885,45.2178
cool_stuff,593363.11,7,4.8075,50.0253
housewares,555578.26,8,4.5014,54.5266
auto,532805.81,9,4.3169,58.8435
garden_tools,452820.7,10,3.6688,62.5123
toys,450256.23,11,3.648,66.1603
baby,377784.1,12,3.0609,69.2212
perfumery,360475.81,13,2.9206,72.1418
telephony,273059.03,14,2.2124,74.3542
office_furniture,260094.56,15,2.1073,76.4615
computers,209972.64,16,1.7012,78.1627
stationery,208343.04,17,1.688,79.8507
pet_shop,186397.89,18,1.5102,81.3609
small_appliances,176586.06,19,1.4307,82.7917
musical_instruments,173796.4,20,1.4081,84.1998
__UNKNOWN__,168461.69,21,1.3649,85.5647
electronics,144196.37,22,1.1683,86.733
fashion_bags_accessories,140817.66,23,1.1409,87.8739
consoles_games,140002.7,24,1.1343,89.0082
luggage_accessories,132101.88,25,1.0703,90.0785
construction_tools_construction,119191.33,26,0.9657,91.0442
home_appliances_2,100421.19,27,0.8136,91.8578
home_construction,75121.41,28,0.6086,92.4665
home_appliances,72388.63,29,0.5865,93.053
agro_industry_and_commerce,65545.01,30,0.5311,93.584
furniture_living_room,62127.36,31,0.5034,94.0874
home_confort,55767.17,32,0.4518,94.5392
fixed_telephony,51886.16,33,0.4204,94.9596
air_conditioning,48417.37,34,0.3923,95.3519
audio,48344.21,35,0.3917,95.7436
books_general_interest,43737.37,36,0.3544,96.098
small_appliances_home_oven_and_coffee,43592.84,37,0.3532,96.4512
kitchen_dining_laundry_garden_furniture,43520.51,38,0.3526,96.8038
industry_commerce_and_business,35774.52,39,0.2898,97.0936
construction_tools_safety,34803.0,40,0.282,97.3756
construction_tools_lights,31744.47,41,0.2572,97.6328
market_place,25931.21,42,0.2101,97.8429
fashion_shoes,22500.17,43,0.1823,98.0252
art,22175.91,44,0.1797,98.2049
costruction_tools_garden,21407.52,45,0.1734,98.3783
food,20477.07,46,0.1659,98.5442
drinks,20106.58,47,0.1629,98.7071
signaling_and_security,19489.46,48,0.1579,98.865
books_technical,17218.44,49,0.1395,99.0045
furniture_bedroom,16854.8,50,0.1366,99.1411
costruction_tools_tools,14648.18,51,0.1187,99.2598
food_drink,13914.27,52,0.1127,99.3725
fashion_male_clothing,10045.74,53,0.0814,99.4539
fashion_underwear_beach,9145.95,54,0.0741,99.528
christmas_supplies,8208.47,55,0.0665,99.5945
tablets_printing_image,7528.41,56,0.061,99.6555
cine_photo,6079.18,57,0.0493,99.7048
music,5536.54,58,0.0449,99.7496
dvds_blu_ray,4533.69,59,0.0367,99.7863
furniture_mattress_and_upholstery,4323.38,60,0.035,99.8214
books_imported,3669.86,61,0.0297,99.8511
party_supplies,3179.9,62,0.0258,99.8769
fashio_female_clothing,2450.07,63,0.0199,99.8967
UNTRANSLATED:portateis_cozinha_e_preparadores_de_alimentos,2130.03,64,0.0173,99.914
la_cuisine,2054.99,65,0.0166,99.9306
fashion_sport,2024.62,66,0.0164,99.947
diapers_and_hygiene,1134.0,67,0.0092,99.9562
flowers,1110.04,68,0.009,99.9652
UNTRANSLATED:pc_gamer,1087.95,69,0.0088,99.974
arts_and_craftmanship,912.25,70,0.0074,99.9814
home_comfort_2,760.27,71,0.0062,99.9876
cds_dvds_musicals,730.0,72,0.0059,99.9935
fashion_childrens_clothes,519.95,73,0.0042,99.9977
security_and_services,283.29,74,0.0023,100.0
