month,category,item_sales_brl,n_orders
2017-01,bed_bath_table,3804.36,43
2017-02,bed_bath_table,15572.13,140
2017-03,bed_bath_table,25120.02,239
2017-04,bed_bath_table,24092.89,231
2017-05,bed_bath_table,32684.6,323
2017-06,bed_bath_table,33803.23,324
2017-07,bed_bath_table,62786.96,503
2017-08,bed_bath_table,56580.63,442
2017-09,bed_bath_table,52105.61,456
2017-10,bed_bath_table,46007.7,442
2017-11,bed_bath_table,87957.63,804
2017-12,bed_bath_table,50081.16,476
2018-01,bed_bath_table,75408.13,689
2018-02,bed_bath_table,60366.29,588
2018-03,bed_bath_table,67786.35,652
2018-04,bed_bath_table,71379.61,600
2018-05,bed_bath_table,71265.07,600
2018-06,bed_bath_table,70857.08,649
2018-07,bed_bath_table,54405.23,511
2017-01,computers_accessories,3924.14,24
2017-02,computers_accessories,11319.09,92
2017-03,computers_accessories,28078.8,147
2017-04,computers_accessories,18353.46,116
2017-05,computers_accessories,44759.39,253
2017-06,computers_accessories,36193.7,212
2017-07,computers_accessories,38176.22,268
2017-08,computers_accessories,33826.47,290
2017-09,computers_accessories,28040.65,211
2017-10,computers_accessories,42009.38,253
2017-11,computers_accessories,69676.32,431
2017-12,computers_accessories,37428.67,249
2018-01,computers_accessories,80503.87,574
2018-02,computers_accessories,100131.99,791
2018-03,computers_accessories,84708.39,630
2018-04,computers_accessories,57370.9,465
2018-05,computers_accessories,50631.83,399
2018-06,computers_accessories,41806.37,352
2018-07,computers_accessories,41063.31,381
2017-01,health_beauty,12366.44,79
2017-02,health_beauty,22059.92,143
2017-03,health_beauty,25652.45,190
2017-04,health_beauty,22156.34,168
2017-05,health_beauty,46340.06,261
2017-06,health_beauty,31676.81,233
2017-07,health_beauty,34239.45,270
2017-08,health_beauty,49030.23,338
2017-09,health_beauty,50649.16,356
2017-10,health_beauty,40698.99,322
2017-11,health_beauty,78274.4,519
2017-12,health_beauty,60688.75,426
2018-01,health_beauty,71405.6,563
2018-02,health_beauty,84576.55,595
2018-03,health_beauty,84488.57,605
2018-04,health_beauty,91058.45,619
2018-05,health_beauty,94534.38,669
2018-06,health_beauty,106745.72,790
2018-07,health_beauty,103524.22,699
2017-01,sports_leisure,9212.14,57
2017-02,sports_leisure,15629.98,134
2017-03,sports_leisure,25472.89,164
2017-04,sports_leisure,22997.06,184
2017-05,sports_leisure,34101.73,256
2017-06,sports_leisure,32066.93,245
2017-07,sports_leisure,36618.83,327
2017-08,sports_leisure,40624.77,375
2017-09,sports_leisure,48972.11,408
2017-10,sports_leisure,48568.98,417
2017-11,sports_leisure,62686.24,542
2017-12,sports_leisure,58722.48,431
2018-01,sports_leisure,86172.83,575
2018-02,sports_leisure,74540.95,571
2018-03,sports_leisure,81656.96,645
2018-04,sports_leisure,65793.52,520
2018-05,sports_leisure,59209.92,449
2018-06,sports_leisure,44916.01,371
2018-07,sports_leisure,54015.89,410
2017-01,watches_gifts,8086.52,11
2017-02,watches_gifts,10992.39,32
2017-03,watches_gifts,24892.38,74
2017-04,watches_gifts,23336.09,88
2017-05,watches_gifts,36619.48,120
2017-06,watches_gifts,27337.63,113
2017-07,watches_gifts,33702.42,151
2017-08,watches_gifts,36170.95,194
2017-09,watches_gifts,44748.96,251
2017-10,watches_gifts,64874.63,282
2017-11,watches_gifts,95292.34,424
2017-12,watches_gifts,69556.92,333
2018-01,watches_gifts,73521.24,322
2018-02,watches_gifts,60725.31,304
2018-03,watches_gifts,95661.18,407
2018-04,watches_gifts,88623.07,462
2018-05,watches_gifts,119364.98,585
2018-06,watches_gifts,85027.57,444
2018-07,watches_gifts,95164.79,507
