category,n_items,n_orders,sales_cents
health_beauty,8587,7845,111016649
watches_gifts,5444,5104,109369885
bed_bath_table,10290,8712,96206468
sports_leisure,7943,7081,90198022
computers_accessories,7217,6138,84800295
furniture_decor,7665,5917,66506862
cool_stuff,3592,3436,59336311
housewares,6167,5185,55557826
auto,3762,3457,53280581
garden_tools,4127,3323,45282070
toys,3841,3631,45025623
baby,2759,2599,37778410
perfumery,3093,2857,36047581
telephony,4151,3846,27305903
office_furniture,1632,1224,26009456
computers,187,167,20997264
stationery,2297,2106,20834304
pet_shop,1722,1518,18639789
small_appliances,635,586,17658606
musical_instruments,610,572,17379640
__UNKNOWN__,1504,1361,16846169
electronics,2609,2402,14419637
fashion_bags_accessories,1850,1691,14081766
consoles_games,1023,958,14000270
luggage_accessories,1013,957,13210188
construction_tools_construction,754,612,11919133
home_appliances_2,217,213,10042119
home_construction,548,439,7512141
home_appliances,691,685,7238863
agro_industry_and_commerce,188,163,6554501
furniture_living_room,455,376,6212736
home_confort,413,377,5576717
fixed_telephony,240,197,5188616
air_conditioning,260,225,4841737
audio,334,322,4834421
books_general_interest,501,462,4373737
small_appliances_home_oven_and_coffee,56,55,4359284
kitchen_dining_laundry_garden_furniture,254,222,4352051
industry_commerce_and_business,251,220,3577452
construction_tools_safety,158,138,3480300
construction_tools_lights,239,186,3174447
market_place,286,261,2593121
fashion_shoes,253,231,2250017
art,179,177,2217591
costruction_tools_garden,209,171,2140752
food,383,338,2047707
drinks,334,263,2010658
signaling_and_security,175,122,1948946
books_technical,234,228,1721844
furniture_bedroom,91,80,1685480
costruction_tools_tools,89,83,1464818
food_drink,248,205,1391427
fashion_male_clothing,121,102,1004574
fashion_underwear_beach,126,116,914595
christmas_supplies,140,115,820847
tablets_printing_image,83,79,752841
cine_photo,61,55,607918
music,32,32,553654
dvds_blu_ray,60,55,453369
furniture_mattress_and_upholstery,37,37,432338
books_imported,56,49,366986
party_supplies,28,24,317990
fashio_female_clothing,41,33,245007
UNTRANSLATED:portateis_cozinha_e_preparadores_de_alimentos,10,9,213003
la_cuisine,14,13,205499
fashion_sport,28,25,202462
diapers_and_hygiene,33,21,113400
flowers,33,29,111004
UNTRANSLATED:pc_gamer,7,6,108795
arts_and_craftmanship,15,14,91225
home_comfort_2,30,24,76027
cds_dvds_musicals,14,12,73000
fashion_childrens_clothes,7,7,51995
security_and_services,2,2,28329
