month,n_orders,delivered_orders,first_purchase,last_purchase,last_estimated_delivery,last_observed_delivery
2016-09,4,1,2016-09-04 21:15:19,2016-09-15 12:16:38,2016-10-28 00:00:00,2016-11-09 07:47:38
2016-10,324,265,2016-10-02 22:07:52,2016-10-22 08:25:27,2017-01-11 00:00:00,2016-12-15 13:35:55
2016-12,1,1,2016-12-23 23:16:47,2016-12-23 23:16:47,2017-01-19 00:00:00,2016-12-28 15:54:44
2017-01,800,750,2017-01-05 11:56:06,2017-01-31 23:37:58,2017-04-24 00:00:00,2017-05-12 13:43:02
2017-02,1780,1653,2017-02-01 00:04:17,2017-02-28 23:47:08,2017-07-04 00:00:00,2017-09-19 14:36:39
2017-03,2682,2546,2017-03-01 00:01:30,2017-03-31 23:54:45,2017-08-22 00:00:00,2017-09-19 18:24:46
2017-04,2404,2303,2017-04-01 00:54:10,2017-04-30 23:48:13,2017-07-07 00:00:00,2017-09-19 18:12:28
2017-05,3700,3546,2017-05-01 01:18:22,2017-05-31 22:59:52,2017-10-11 00:00:00,2017-11-16 10:56:45
2017-06,3245,3135,2017-06-01 00:05:38,2017-06-30 23:20:08,2017-09-04 00:00:00,2017-12-04 18:36:29
2017-07,4026,3872,2017-07-01 00:04:15,2017-07-31 23:55:27,2017-10-19 00:00:00,2017-10-18 18:31:48
2017-08,4331,4193,2017-08-01 00:02:01,2017-08-31 23:55:57,2017-11-23 00:00:00,2017-12-18 23:19:20
2017-09,4285,4150,2017-09-01 00:03:50,2017-09-30 23:59:15,2017-12-12 00:00:00,2018-02-05 21:25:43
2017-10,4631,4478,2017-10-01 00:03:33,2017-10-31 23:50:58,2018-02-02 00:00:00,2018-02-09 14:19:09
2017-11,7544,7289,2017-11-01 00:12:34,2017-11-30 23:36:03,2018-02-16 00:00:00,2018-05-21 18:22:18
2017-12,5673,5513,2017-12-01 00:01:14,2017-12-31 23:29:31,2018-04-06 00:00:00,2018-04-28 15:51:50
2018-01,7269,7069,2018-01-01 02:48:41,2018-01-31 23:58:22,2018-04-30 00:00:00,2018-07-13 20:51:31
2018-02,6728,6555,2018-02-01 00:24:55,2018-02-28 23:57:55,2018-07-12 00:00:00,2018-09-19 23:24:07
2018-03,7211,7003,2018-03-01 00:00:00,2018-03-31 23:54:10,2018-08-03 00:00:00,2018-06-20 22:32:03
2018-04,6939,6798,2018-04-01 00:11:32,2018-04-30 23:47:26,2018-06-22 00:00:00,2018-08-01 22:15:02
2018-05,6873,6749,2018-05-01 00:02:11,2018-05-31 23:51:24,2018-08-16 00:00:00,2018-10-11 16:41:14
2018-06,6167,6099,2018-06-01 00:39:55,2018-06-30 23:59:49,2018-09-03 00:00:00,2018-10-17 13:22:46
2018-07,6292,6159,2018-07-01 00:25:07,2018-07-31 23:54:20,2018-09-20 00:00:00,2018-10-02 00:18:50
2018-08,6512,6351,2018-08-01 00:02:17,2018-08-31 16:13:44,2018-10-25 00:00:00,2018-09-25 00:47:25
2018-09,16,0,2018-09-03 09:06:57,2018-09-29 09:13:03,2018-10-25 00:00:00,
2018-10,4,0,2018-10-01 15:30:09,2018-10-17 17:30:18,2018-11-12 00:00:00,
